channel,gain_2023_nC_per_PE,gain_2019_2020_nC_per_PE,transparency_c1Mu_mean_nC_per_PE,transparency_c1Mu_std_nC_per_PE,delta_2023_minus_2019_2020_nC_per_PE,ratio_2023_over_2019_2020,frac_change_2023_vs_2019_2020,delta_2023_minus_transparency_nC_per_PE,delta_2019_2020_minus_transparency_nC_per_PE,ratio_2023_over_transparency,ratio_2019_2020_over_transparency
410,0.001386,0.001222,,,0.00016400000000000008,1.1342062193126023,0.13420621931260235,,,,
411,0.001278,0.001043,,,0.00023499999999999997,1.2253116011505272,0.22531160115052729,,,,
412,0.001401,0.001179,,,0.00022199999999999998,1.188295165394402,0.18829516539440203,,,,
413,0.001499,0.001165,,,0.0003339999999999999,1.286695278969957,0.28669527896995695,,,,
414,0.001488,0.001105,,,0.0003829999999999999,1.3466063348416288,0.34660633484162884,,,,
415,0.001217,0.000937,,,0.00028,1.2988260405549625,0.2988260405549626,,,,
416,0.0,0.001215,,,-0.001215,0.0,-1.0,,,,
417,0.001468,0.001142,,,0.0003259999999999999,1.285464098073555,0.2854640980735551,,,,
418,0.001457,0.001201,,,0.00025599999999999993,1.2131557035803497,0.21315570358034966,,,,
419,0.001248,0.001197,,,5.100000000000005e-05,1.0426065162907268,0.042606516290726856,,,,
420,0.001744,0.001074,,,0.00067,1.6238361266294228,0.6238361266294227,,,,
421,0.001398,0.001189,,,0.00020899999999999998,1.1757779646761986,0.17577796467619847,,,,
422,0.001409,0.001297,,,0.00011200000000000012,1.0863531225905938,0.08635312259059377,,,,
423,0.001324,0.001221,,,0.00010300000000000001,1.0843570843570844,0.08435708435708436,,,,
424,0.001548,0.001232,,,0.0003159999999999999,1.2564935064935063,0.2564935064935064,,,,
425,0.001455,0.001282,,,0.00017299999999999998,1.1349453978159125,0.13494539781591264,,,,
426,0.001274,0.001083,,,0.00019099999999999998,1.1763619575253925,0.1763619575253924,,,,
427,0.001316,0.001162,,,0.00015399999999999984,1.1325301204819276,0.13253012048192755,,,,
428,0.00142,0.0012,,,0.00022000000000000014,1.1833333333333336,0.18333333333333346,,,,
429,0.001338,0.001148,,,0.00019000000000000006,1.1655052264808363,0.1655052264808363,,,,
430,0.001515,0.001226,,,0.000289,1.2357259380097878,0.2357259380097879,,,,
432,0.001307,0.001305,,,2.0000000000000486e-06,1.0015325670498085,0.0015325670498084665,,,,
433,0.001279,0.001156,,,0.00012300000000000006,1.1064013840830451,0.10640138408304504,,,,
434,0.001357,0.00113,,,0.000227,1.2008849557522123,0.20088495575221238,,,,
435,0.001416,0.001257,,,0.00015899999999999985,1.1264916467780428,0.12649164677804284,,,,
436,0.001345,0.001175,,,0.00017,1.1446808510638298,0.1446808510638298,,,,
437,0.001448,0.001289,,,0.00015900000000000007,1.1233514352211016,0.12335143522110169,,,,
438,0.00135,0.001247,,,0.00010300000000000001,1.082598235765838,0.08259823576583801,,,,
439,0.001398,0.001216,,,0.00018199999999999987,1.1496710526315788,0.14967105263157884,,,,
440,0.001487,0.001157,,,0.00033,1.285220397579948,0.2852203975799481,,,,
441,0.001459,0.001194,,,0.00026500000000000004,1.2219430485762144,0.22194304857621444,,,,
442,0.001291,0.001319,,,-2.800000000000003e-05,0.9787717968157695,-0.0212282031842305,,,,
443,0.001236,0.001312,,,-7.600000000000011e-05,0.9420731707317073,-0.05792682926829277,,,,
445,,0.00076,,,,,,,,,
446,0.001495,0.001335,,,0.00015999999999999999,1.1198501872659177,0.11985018726591759,,,,
